taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
2599821,Candidatus_Altiarchaeota_archaeon,d__Archaea,k__Archaea,p__Candidatus_Altiarchaeota,c__Candidatus_Altiarchaeota_archaeon__S+,o__Candidatus_Altiarchaeota_archaeon__S+,f__Candidatus_Altiarchaeota_archaeon__S+,g__Candidatus_Altiarchaeota_archaeon__S+,s__Candidatus_Altiarchaeota_archaeon
1906666,Thermoplasmata_archaeon,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmata_archaeon__S+,f__Thermoplasmata_archaeon__S+,g__Thermoplasmata_archaeon__S+,s__Thermoplasmata_archaeon
2012523,Thermoplasmatales_archaeon_ex4484_36,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmatales_archaeon_ex4484_36__S+,g__Thermoplasmatales_archaeon_ex4484_36__S+,s__Thermoplasmatales_archaeon_ex4484_36
230361,Methanobrevibacter_millerae,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__Methanobrevibacter_millerae
1915696,Methanomicrobia_archaeon_UBA590,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobia_archaeon_UBA590__S+,f__Methanomicrobia_archaeon_UBA590__S+,g__Methanomicrobia_archaeon_UBA590__S+,s__Methanomicrobia_archaeon_UBA590
2816475,Haloterrigena_sp_KZCA68,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Haloterrigena,s__Haloterrigena_sp_KZCA68
1729464,Natrialbaceae_archaeon_Tc_Br11_E2g8,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Natrialbaceae_archaeon_Tc_Br11_E2g8__S+,s__Natrialbaceae_archaeon_Tc_Br11_E2g8
2220064,uncultured_Candidatus_Micrarchaeota_archaeon,d__Archaea,k__Archaea,p__Candidatus_Micrarchaeota,c__uncultured_Candidatus_Micrarchaeota_archaeon__S+,o__uncultured_Candidatus_Micrarchaeota_archaeon__S+,f__uncultured_Candidatus_Micrarchaeota_archaeon__S+,g__uncultured_Candidatus_Micrarchaeota_archaeon__S+,s__uncultured_Candidatus_Micrarchaeota_archaeon
1869245,Natrialba_sp_SSL1,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Natrialba,s__Natrialba_sp_SSL1
1915991,Candidatus_Bathyarchaeota_archaeon_UBA589,d__Archaea,k__Archaea,p__Candidatus_Bathyarchaeota,c__Candidatus_Bathyarchaeota_archaeon_UBA589__S+,o__Candidatus_Bathyarchaeota_archaeon_UBA589__S+,f__Candidatus_Bathyarchaeota_archaeon_UBA589__S+,g__Candidatus_Bathyarchaeota_archaeon_UBA589__S+,s__Candidatus_Bathyarchaeota_archaeon_UBA589
1916022,Candidatus_Woesearchaeota_archaeon_UBA142,d__Archaea,k__Archaea,p__Candidatus_Woesearchaeota,c__Candidatus_Woesearchaeota_archaeon_UBA142__S+,o__Candidatus_Woesearchaeota_archaeon_UBA142__S+,f__Candidatus_Woesearchaeota_archaeon_UBA142__S+,g__Candidatus_Woesearchaeota_archaeon_UBA142__S+,s__Candidatus_Woesearchaeota_archaeon_UBA142
51589,Haloarcula_hispanica,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula_hispanica
1906665,archaeon,d__Archaea,k__Archaea,p__archaeon__S+,c__archaeon__S+,o__archaeon__S+,f__archaeon__S+,g__archaeon__S+,s__archaeon
1915594,Methanosarcina_sp_UBA591,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA591
1919186,Halobacteriales_archaeon_QS_8_65_32,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriales_archaeon_QS_8_65_32__S+,g__Halobacteriales_archaeon_QS_8_65_32__S+,s__Halobacteriales_archaeon_QS_8_65_32
1915578,Methanosarcina_sp_UBA323,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA323
62320,Haloterrigena_turkmenica,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Haloterrigena,s__Haloterrigena_turkmenica
1915433,Methanobacterium_sp_UBA305,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium_sp_UBA305
1514971,Haloprofundus_marisrubri,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloprofundus,s__Haloprofundus_marisrubri
2056317,ANME_2_cluster_archaeon,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__ANME_2_cluster_archaeon__S+,g__ANME_2_cluster_archaeon__S+,s__ANME_2_cluster_archaeon
253161,uncultured_Methanobrevibacter_sp,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__uncultured_Methanobrevibacter_sp
1915580,Methanosarcina_sp_UBA342,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA342
